,Method,MAE,F1_Test,Time(s),T0,T1,T2,T3,seed_data,seed_models
36,DA,0.4103008433514252,0.8163708801159001,224.15839290618896,0.04624299731451481,-0.017591888969802457,-0.015891655351385748,0.004000059250886826,6,1
37,CEVAE,0.6640258945490516,0.7979517691258393,226.58966207504272,0.15311533212661743,,,0.044661227613687515,6,1
38,M3E2,0.9166577943745967,0.7048484848484848,93.03641653060913,1.024111270904541,0.35940614342689514,-0.04891423508524895,0.6415389776229858,6,1
39,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,6,1
40,DA,0.40670309383828496,0.8057267125770208,227.49763703346252,0.042229042314506665,-0.012549925507585775,0.006240370513504587,0.010713078601007979,6,2
41,CEVAE,0.727985101528124,0.7874122851732861,217.63455772399902,0.18750406801700592,,-0.03543861210346222,,6,2
42,M3E2,0.9008379384089228,0.6890909090909091,93.83918237686157,1.07698655128479,0.2507725954055786,-0.06424496322870255,0.618687093257904,6,2
43,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,6,2
44,DA,0.4129596825083697,0.8123411978221414,225.71370482444763,0.03884085433613674,-0.001413981179916819,-0.019055349733713943,0.0026959566848290396,6,3
45,CEVAE,0.4677805505838211,0.7931563615179533,324.87977504730225,0.15651598572731018,0.04053127393126488,-0.05163979157805443,0.029774600639939308,6,3
46,M3E2,0.8597610044438359,0.6918181818181818,102.24506759643555,0.8336758017539978,0.7861112952232361,-0.04845534265041351,0.1781410276889801,6,3
47,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,6,3
48,DA,0.4100433486581647,0.813974428236989,250.05009293556213,0.04000381953800421,-0.010377810996489207,-0.01974323676051215,-0.0018564011280839702,6,4
49,CEVAE,,,86.7275037765503,,,,,6,4
50,M3E2,0.9424678949784454,0.6948484848484848,96.0101683139801,1.0813268423080444,0.6885020732879639,-0.029580039903521538,0.3778020739555359,6,4
51,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,6,4
52,DA,0.41219483063312634,0.8151093439363817,224.97111701965332,0.035060586954003756,-0.023329602744130314,-0.02815642250333976,0.016231365360576525,6,5
53,CEVAE,0.4694423881504651,0.8009943797695483,297.3562602996826,0.1396297812461853,0.04025636613368988,-0.049849070608615875,0.05537378415465355,6,5
54,M3E2,0.8883936918485876,0.7045454545454546,93.93652129173279,1.0152961015701294,0.4445406198501587,-0.11064549535512924,0.3904320001602173,6,5
55,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,6,5
56,DA,0.4136174037762682,0.8027012228508852,224.98240160942078,0.048997580443319165,-0.011020606378133496,-0.01608582342939588,0.007746267151775673,6,6
57,CEVAE,0.48060831438339907,0.7878099138530545,301.1112868785858,0.1649632304906845,0.059348978102207184,-0.07428339868783951,0.0311770997941494,6,6
58,M3E2,0.7581388644088026,0.6984848484848485,93.76793360710144,0.6084504127502441,0.2650378942489624,-0.510881245136261,0.05552535504102707,6,6
59,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,6,6
60,DA,0.4094706658315787,0.8110949963741841,225.30569982528687,0.04550616812444895,-0.007110934808762932,-0.008037851074869597,-0.0012109715229563385,6,7
61,CEVAE,0.48716789587922055,0.7943974221251588,302.29330372810364,0.16605287790298462,0.03993215784430504,-0.09177100658416748,0.058254990726709366,6,7
62,M3E2,0.8899609326530215,0.6966666666666667,95.17859053611755,1.1027789115905762,0.4061792194843292,-0.08012709766626358,0.3780979514122009,6,7
