,Method,MAE,F1_Test,Time(s),T0,seed_data,seed_models
191,Dragonnet,0.037540551235433206,1.9936425169897551,12.706796646118164,4.19998025894165,5,6
192,CEVAE,0.06943571191048203,1.7205944061279297,14.85110878944397,4.231875419616699,5,6
193,M3E2,0.15743028741097032,6.991997718811035,14.535818338394165,4.3198699951171875,5,6
194,TrueTreat,8.324879415412434,0.0,0.0,-4.162439707706217,5,6
195,DA,0.07689793200734485,2.6853897097368282,2.848273277282715,4.239337639713562,5,7
196,Dragonnet,0.05614292245125352,1.924631491084432,12.311758518218994,4.218582630157471,5,7
197,CEVAE,0.2878409586451012,1.2635971307754517,15.049355745315552,4.450280666351318,5,7
198,M3E2,0.1398502550623375,7.681334972381592,14.598106861114502,4.302289962768555,5,7
199,TrueTreat,8.324879415412434,0.0,0.0,-4.162439707706217,5,7
200,DA,0.10314174895479589,1.1358202800574357,2.8817298412323,3.9008258453457376,6,0
201,Dragonnet,0.005144763792728213,1.0540072235213707,8.122032165527344,4.009112358093262,6,0
202,CEVAE,1.720704626237179,1.0651546716690063,14.959932088851929,2.2832629680633545,6,0
203,M3E2,0.06443006912353155,1.6970261335372925,14.766819715499878,3.939537525177002,6,0
204,TrueTreat,8.007935188601067,0.0,0.0,-4.0039675943005335,6,0
205,DA,0.0102093402014507,1.0313566321256624,2.822481870651245,3.993758254099083,6,1
206,Dragonnet,0.0809624902355921,0.9956118947459934,6.771646499633789,3.9230051040649414,6,1
207,CEVAE,0.16759889205810907,1.0283641815185547,14.810441017150879,4.171566486358643,6,1
208,M3E2,0.06618802627441767,1.683597445487976,14.53511929512024,4.070155620574951,6,1
209,TrueTreat,8.007935188601067,0.0,0.0,-4.0039675943005335,6,1
210,DA,0.004406350010437432,1.131890612316822,2.8093247413635254,3.999561244290096,6,2
211,Dragonnet,0.1824642904650915,1.010310662680631,11.156583309173584,4.186431884765625,6,2
212,CEVAE,0.09686715522887823,1.142215371131897,14.83467721939087,3.9071004390716553,6,2
213,M3E2,0.14947731414916632,2.168076276779175,14.584351301193237,3.854490280151367,6,2
214,TrueTreat,8.007935188601067,0.0,0.0,-4.0039675943005335,6,2
215,DA,0.007753797434549625,1.2560171922616417,2.845367431640625,4.011721391735083,6,3
216,Dragonnet,0.09402673324463251,1.18060901445091,6.015655040740967,4.097994327545166,6,3
217,CEVAE,0.10335748275635126,1.1965727806091309,14.877743482589722,4.107325077056885,6,3
218,M3E2,0.03902976592895868,1.618354082107544,14.550843954086304,4.042997360229492,6,3
219,TrueTreat,8.007935188601067,0.0,0.0,-4.0039675943005335,6,3
220,DA,0.07546456325140527,1.2615550019642368,2.8245434761047363,3.9285030310491282,6,4
221,Dragonnet,0.19224960723998663,1.0879506914989256,10.03340220451355,3.811717987060547,6,4
222,CEVAE,0.6770859471905482,1.1048047542572021,15.070651292800903,3.3268816471099854,6,4
223,M3E2,0.04589622100708368,2.409841299057007,14.574766635894775,4.049863815307617,6,4
224,TrueTreat,8.007935188601067,0.0,0.0,-4.0039675943005335,6,4
225,DA,0.07407236866502442,1.101662413350929,2.834610939025879,3.929895225635509,6,5
226,Dragonnet,0.12473328033568976,1.0651613632857335,7.537374973297119,3.8792343139648438,6,5
227,CEVAE,1.9807887784588587,1.1343295574188232,15.074828147888184,2.023178815841675,6,5
228,M3E2,0.0480200537097204,1.4845620393753052,14.592045068740845,4.051987648010254,6,5
229,TrueTreat,8.007935188601067,0.0,0.0,-4.0039675943005335,6,5
230,DA,0.06004349636266637,1.2368411448893322,3.077106237411499,3.943924097937867,6,6
231,Dragonnet,0.018759418333743838,1.1164789745421815,6.963151216506958,4.022727012634277,6,6
232,CEVAE,0.1828004606616247,1.2017849683761597,14.854138612747192,4.186768054962158,6,6
233,M3E2,0.07273085037353155,1.736572027206421,14.505848169326782,3.931236743927002,6,6
234,TrueTreat,8.007935188601067,0.0,0.0,-4.0039675943005335,6,6
235,DA,0.07307119278965146,1.2964323531285442,2.7543869018554688,3.930896401510882,6,7
236,Dragonnet,0.009642291868900088,1.1800352241666652,11.878499031066895,4.013609886169434,6,7
237,CEVAE,0.33878595749023077,1.2750587463378906,14.909902334213257,3.6651816368103027,6,7
238,M3E2,0.09479158004639032,1.7768925428390503,14.534550189971924,4.098759174346924,6,7
239,TrueTreat,8.007935188601067,0.0,0.0,-4.0039675943005335,6,7
240,DA,0.23559395288057372,1.0977874605638607,2.8164405822753906,3.754955540339734,7,0
241,Dragonnet,0.4519223455457473,1.0512972894683075,8.069902420043945,3.5386271476745605,7,0
242,CEVAE,0.3689939264325881,1.1387253999710083,15.218693494796753,3.6215555667877197,7,0
243,M3E2,0.39716641941354514,1.2870668172836304,14.608854532241821,3.5933830738067627,7,0
244,TrueTreat,7.981098986440616,0.0,0.0,-3.990549493220308,7,0
245,DA,0.10086907027959624,1.20355421556933,2.885676383972168,3.8896804229407116,7,1
246,Dragonnet,0.24638216533944846,1.1826491467872515,5.914855480194092,3.7441673278808594,7,1
247,CEVAE,0.005920242878935333,1.2263776063919067,15.284206628799438,3.996469736099243,7,1
248,M3E2,0.03880994358346701,1.2478910684585571,14.569905519485474,3.951739549636841,7,1
249,TrueTreat,7.981098986440616,0.0,0.0,-3.990549493220308,7,1
250,DA,0.30136593311946314,1.1248073010513193,2.9044554233551025,3.6891835601008447,7,2
251,Dragonnet,0.3733884576825881,1.196480252997347,6.76241397857666,3.6171610355377197,7,2
252,CEVAE,0.6667896989850783,1.3651982545852661,14.731902360916138,3.3237597942352295,7,2
253,M3E2,0.2999307397870803,1.4864087104797363,14.484013080596924,3.6906187534332275,7,2
254,TrueTreat,7.981098986440616,0.0,0.0,-3.990549493220308,7,2
255,DA,0.1569884341072414,1.1779524269798518,2.7844631671905518,3.8335610591130664,7,3
256,Dragonnet,0.07987468281076193,1.1429855773734041,6.619200944900513,3.910674810409546,7,3
257,CEVAE,0.2990459684400344,1.2795857191085815,14.65830373764038,3.6915035247802734,7,3
258,M3E2,0.23139207401559592,1.1705284118652344,14.233198404312134,3.759157419204712,7,3
259,TrueTreat,7.981098986440616,0.0,0.0,-3.990549493220308,7,3
260,DA,0.3447531349426556,1.0988225942055565,3.0514888763427734,3.6457963582776522,7,4
261,Dragonnet,0.28886048832223654,1.172622934327246,7.428112268447876,3.7016890048980713,7,4
262,CEVAE,0.5923468355207229,1.3019099235534668,14.724424839019775,3.398202657699585,7,4
263,M3E2,0.37906949558542014,1.515173316001892,14.349612951278687,3.6114799976348877,7,4
264,TrueTreat,7.981098986440616,0.0,0.0,-3.990549493220308,7,4
265,DA,0.2846958246211395,1.1179676908746905,2.8036320209503174,3.7058536685991683,7,5
266,Dragonnet,0.30311291256234885,1.203008504512274,6.47327446937561,3.687436580657959,7,5
267,CEVAE,0.3924628976850295,1.2059985399246216,14.734040260314941,3.5980865955352783,7,5
268,M3E2,0.018447804835298065,1.322272539138794,14.331549406051636,3.9721016883850098,7,5
269,TrueTreat,7.981098986440616,0.0,0.0,-3.990549493220308,7,5
270,DA,0.3087072841056222,1.1000662879279246,2.777996063232422,3.6818422091146856,7,6
271,Dragonnet,0.34391348400399924,1.1203691518150554,5.693680047988892,3.6466360092163086,7,6
272,CEVAE,0.3794609788923049,1.1730823516845703,14.797212600708008,3.611088514328003,7,6
273,M3E2,0.26359360256479025,1.3019580841064453,14.285212755203247,3.7269558906555176,7,6
274,TrueTreat,7.981098986440616,0.0,0.0,-3.990549493220308,7,6
275,DA,0.13205023493781454,0.8853670491169647,2.825392484664917,3.8584992582824933,7,7
276,Dragonnet,0.26119988003061057,0.9389200868398017,6.5248494148254395,3.7293496131896973,7,7
277,CEVAE,0.689411807444551,1.1415371894836426,14.709094285964966,3.301137685775757,7,7
278,M3E2,0.3188347105054641,1.2682371139526367,14.407126665115356,3.6717147827148438,7,7
279,TrueTreat,7.981098986440616,0.0,0.0,-3.990549493220308,7,7
280,DA,0.18035103784713868,1.6653800315400797,2.778491973876953,4.034004393481365,8,0
281,Dragonnet,0.02670828918220014,1.3143608806745186,8.885247468948364,3.8269450664520264,8,0
282,CEVAE,0.27271096328498334,1.1370632648468018,14.591903924942017,3.580942392349243,8,0
283,M3E2,0.22174255470038862,4.403672695159912,14.186610460281372,3.631910800933838,8,0
284,TrueTreat,7.707306711268453,0.0,0.0,-3.8536533556342265,8,0
285,DA,0.08835415401567559,1.733725026535466,2.783507823944092,3.942007509649902,8,1
286,Dragonnet,0.10477654556037397,1.4570516994073794,7.380633354187012,3.7488768100738525,8,1
287,CEVAE,0.22792394539116412,1.3346552848815918,14.81014895439148,4.081577301025391,8,1
288,M3E2,0.7689458570838115,4.717566013336182,14.181409358978271,3.084707498550415,8,1
289,TrueTreat,7.707306711268453,0.0,0.0,-3.8536533556342265,8,1
290,DA,0.08042733521904388,1.8212211358304704,3.0270419120788574,3.9340806908532704,8,2
291,Dragonnet,0.29536883453132123,1.5315335202643434,9.92522120475769,3.5582845211029053,8,2
292,CEVAE,0.11838714698554487,1.3723098039627075,14.618797063827515,3.7352662086486816,8,2
293,M3E2,0.3186976156592509,5.051138401031494,14.19185757637024,3.5349557399749756,8,2
294,TrueTreat,7.707306711268453,0.0,0.0,-3.8536533556342265,8,2
295,DA,0.190262522945984,2.1152699330651323,2.8580496311187744,4.0439158785802105,8,3
296,Dragonnet,0.21970359901191205,1.761884766266706,12.042909383773804,3.6339497566223145,8,3
297,CEVAE,0.2396070204138896,1.6464310884475708,14.721804857254028,3.614046335220337,8,3
298,M3E2,0.14687482932807416,3.8189423084259033,14.303462982177734,3.7067785263061523,8,3
299,TrueTreat,7.707306711268453,0.0,0.0,-3.8536533556342265,8,3
300,DA,0.14515999379135858,1.9113951608643294,2.7461392879486084,3.998813349425585,8,4
301,Dragonnet,0.19920937637092084,1.49934340406843,8.212022304534912,3.6544439792633057,8,4
302,CEVAE,2.6007547817587993,1.2876534461975098,14.677654027938843,1.2528985738754272,8,4
303,M3E2,0.33162681678534955,4.203902244567871,14.359453439712524,3.522026538848877,8,4
304,TrueTreat,7.707306711268453,0.0,0.0,-3.8536533556342265,8,4
305,DA,0.1745941101129893,1.8624772962127603,2.70055890083313,3.679059245521237,8,5
306,Dragonnet,0.27350656608344526,1.562928693320119,6.585549831390381,3.5801467895507812,8,5
307,CEVAE,1.352689906156077,1.6293243169784546,14.528709411621094,2.5009634494781494,8,5
308,M3E2,0.2802907667517802,4.057377338409424,14.153860807418823,3.5733625888824463,8,5
309,TrueTreat,7.707306711268453,0.0,0.0,-3.8536533556342265,8,5
310,DA,0.3342872676955082,2.1743071073554114,2.7007925510406494,4.187940623329735,8,6
311,Dragonnet,0.1331032953620097,1.800562901322301,6.389362573623657,3.720550060272217,8,6
