,Method,MAE,F1_Test,Time(s),T0,T1,T2,T3,T4,T5,T6,T7,T8,seed_data,seed_models
71,Dragonnet,0.1962474048893962,0.4675568014589087,323.71370005607605,-0.14442001283168793,0.04307374358177185,0.10249219834804535,0.016306482255458832,0.018599461764097214,0.20907698571681976,-0.11854440718889236,0.05237581580877304,-0.023394731804728508,1,6
72,CEVAE,0.2455309931452115,0.48271279903219516,624.1248550415039,-0.10102618485689163,,,0.03490781784057617,,0.08714072406291962,,0.0496879518032074,-0.019357025623321533,1,6
73,M3E2,0.14725352073882103,0.5618181818181818,286.16397500038147,-0.3020855486392975,-0.011495426297187805,0.23062480986118317,0.1286548674106598,-0.2096768021583557,0.1653899997472763,-0.21740946173667908,0.13050265610218048,-0.2031746506690979,1,6
74,TrueTreat,0.0,0.0,0.0,-0.4060863409158104,0.15293910341251885,0.13204293806586392,0.2682421555390426,-0.21635190733116963,0.5753846742200707,-0.43620294105412,0.1903017252237757,-0.07975977401427464,1,6
75,DA,0.20731999081026206,0.23020833333333335,215.91315817832947,-0.11259540169492657,-0.0057534668740541126,0.0832981152855969,0.012314780374732064,-0.04468232865206728,0.1545145607848249,-0.10553981616956158,0.04855160569497534,-0.03568850070165744,1,7
76,Dragonnet,0.20503920113159357,0.4747718328525152,336.62185859680176,-0.10916084051132202,-0.04055124521255493,0.10374032706022263,-0.027154920622706413,-0.028556786477565765,0.2466530054807663,-0.13047827780246735,0.04063558951020241,-0.02044008858501911,1,7
77,CEVAE,0.22699987125487284,0.47564392000202016,730.0971400737762,-0.07437106966972351,,0.06159983202815056,0.017624646425247192,-0.01809924654662609,0.13918642699718475,-0.11304342746734619,0.02048271894454956,-0.04396611824631691,1,7
78,M3E2,0.16549088105671741,0.5472727272727272,292.5239372253418,-0.2620295584201813,0.027702147141098976,0.12180984020233154,0.13368676602840424,-0.02239164710044861,0.20744162797927856,-0.021299799904227257,0.09183374047279358,-0.07969850301742554,1,7
79,TrueTreat,0.0,0.0,0.0,-0.4060863409158104,0.15293910341251885,0.13204293806586392,0.2682421555390426,-0.21635190733116963,0.5753846742200707,-0.43620294105412,0.1903017252237757,-0.07975977401427464,1,7
80,DA,0.19351107170494844,0.2737642585551331,218.62853074073792,0.005611276825458213,0.023935428183445438,0.19263147434556893,-0.13884098354985613,0.14224071615923706,0.02328019561425907,-0.02196761884729397,0.08958359451252405,0.06274557241752837,2,0
81,Dragonnet,0.20122197385357243,0.4679161767218698,348.23457193374634,0.05614094436168671,0.050658777356147766,0.1332000344991684,-0.08535390347242355,0.1534726470708847,0.019118500873446465,-0.013567852787673473,0.11247766762971878,0.06089511141180992,2,0
82,CEVAE,0.21751843026086595,0.4811764445273309,659.7336225509644,0.05521218106150627,0.06013492867350578,0.14589309692382812,-0.02463785745203495,0.11432648450136185,0.02706316113471985,0.010871291160583496,,,2,0
83,M3E2,0.1829786037716385,0.5978787878787879,285.26868200302124,-0.06722461432218552,-0.06148136034607887,0.22285208106040955,-0.3461129367351532,0.18341997265815735,-0.044667720794677734,-0.1562746912240982,0.08173805475234985,0.019976262003183365,2,0
84,TrueTreat,0.0,0.0,0.0,0.10418946185136765,0.014066706806582369,0.5340490239171135,-0.41006770210124716,0.4483588962987158,0.210436841414051,-0.1257203542895107,0.3113220216518079,0.26448805471558473,2,0
85,DA,0.1938004511248247,0.2138364779874214,212.60265445709229,-0.0011723392900545937,0.029170335923736797,0.1703588590641543,-0.1482594895792378,0.15209382766387602,0.03433145971775216,0.00613133856809142,0.0989033113641807,0.08288865570207571,2,1
86,Dragonnet,0.2214486635300162,0.4813912224925762,332.37506461143494,-0.009084559045732021,0.0267779678106308,0.12246981263160706,-0.08726111799478531,0.13303595781326294,0.027617257088422775,0.05730128660798073,0.04758823290467262,0.07671911269426346,2,1
