,Method,MAE,F1_Test,Time(s),T0,T1,T2,seed_data,seed_models
97,Dragonnet,0.1812967044239926,0.49007362644579827,124.71186423301697,-0.007967772893607616,-0.03874601423740387,0.1551288664340973,2,0
98,CEVAE,0.15656815198567384,0.48724082420734544,243.77627635002136,0.0325198769569397,0.010508507490158081,0.1395723521709442,2,0
99,HiCI,0.22095592333372496,0.42475987193169695,5.737187147140503,0.056676506996154785,0.017926275730133057,-0.07744622230529785,2,0
100,M3E2,0.14209188410139148,0.26938369781312127,128.30903792381287,-0.030217263847589493,0.020619817078113556,0.24873320758342743,2,0
101,TrueTreat,0.0,0.0,0.0,0.10418946185136765,0.014066706806582369,0.5340490239171135,2,0
102,DA,0.15773154146440427,0.3304347826086957,210.37009406089783,0.005243543061151608,-0.01920118938411832,0.19306821450481745,2,1
103,Dragonnet,0.1752743423078892,0.49349535529787625,115.77253603935242,0.0026522085536271334,-0.020977485924959183,0.14480744302272797,2,1
104,CEVAE,0.2073872836634303,0.491994632590282,220.92888760566711,,-0.002750188112258911,0.13609135150909424,2,1
105,HiCI,0.307993072290125,0.5026737967914439,5.730386972427368,0.23601722717285156,-0.14125633239746094,-0.10277938842773438,2,1
106,M3E2,0.11796727785226578,0.25962487660414607,129.32619881629944,-0.015950869768857956,0.004852253012359142,0.309501975774765,2,1
107,TrueTreat,0.0,0.0,0.0,0.10418946185136765,0.014066706806582369,0.5340490239171135,2,1
108,DA,0.15245160003163524,0.3149049093321539,209.86566829681396,0.03518540905371261,-0.027743143481262517,0.18750812690770768,2,2
109,Dragonnet,0.1674959092339563,0.494680447937059,128.79949951171875,0.02319800853729248,-0.025832192972302437,0.15245164930820465,2,2
110,CEVAE,0.15745245767143243,0.48922233380727437,250.87252593040466,0.0362393818795681,-0.011413007974624634,0.15512144565582275,2,2
111,HiCI,0.5092889249512579,0.5159958720330238,6.452415943145752,0.5323657989501953,-0.2550811767578125,-0.2964935302734375,2,2
112,M3E2,0.10366211995489273,0.3570205479452055,129.02968430519104,0.09535731375217438,-0.029279975220561028,0.275241494178772,2,2
113,TrueTreat,0.0,0.0,0.0,0.10418946185136765,0.014066706806582369,0.5340490239171135,2,2
114,DA,0.15560442783068967,0.17750882501260715,211.42862248420715,0.023825101290170597,-0.035762117759217296,0.19742892555204122,2,3
115,Dragonnet,0.1514617125292228,0.49624427061654797,123.01041388511658,0.022042354568839073,0.03329705819487572,0.18104134500026703,2,3
116,CEVAE,0.24273792275043532,0.4959468663192267,251.0934295654297,-0.0049268268048763275,,0.15768946707248688,2,3
117,HiCI,0.42180583677580213,0.5461767626613704,6.18325138092041,0.40338134765625,-0.18354034423828125,-0.23456954956054688,2,3
118,M3E2,0.10971165748328222,0.36824605153782214,130.88232016563416,0.12264426052570343,-0.04049541801214218,0.27793097496032715,2,3
119,TrueTreat,0.0,0.0,0.0,0.10418946185136765,0.014066706806582369,0.5340490239171135,2,3
120,DA,0.1476600238729545,0.2808280828082808,213.2382686138153,0.05532229373931738,-0.029752175355707716,0.18375500257259034,2,4
121,Dragonnet,0.16924841865904008,0.4894890191221479,113.87753176689148,0.015510860830545425,-0.02476230449974537,0.15381138026714325,2,4
122,CEVAE,0.22645613730701014,0.48668978406652413,210.67349696159363,0.0414421483874321,,0.1438840627670288,2,4
123,HiCI,0.21743506419168787,,6.5099170207977295,0.0,0.0,0.0,2,4
124,M3E2,0.12375246835258479,0.33885017421602787,129.97101640701294,0.028050575405359268,-0.05069196969270706,0.303689181804657,2,4
125,TrueTreat,0.0,0.0,0.0,0.10418946185136765,0.014066706806582369,0.5340490239171135,2,4
126,DA,0.1432484665280667,0.2745463006049325,212.57460832595825,0.0447984554881799,-0.018501197001177284,0.19626253450386077,2,5
127,Dragonnet,0.11504694797105465,0.4835428170363662,123.22158193588257,0.08298494666814804,-0.018787816166877747,0.24296721816062927,2,5
128,CEVAE,0.23463212319465682,0.4977356080139863,221.4146604537964,0.03148290887475014,,0.13749133050441742,2,5
129,HiCI,0.21743506419168787,,7.323366641998291,0.0,0.0,0.0,2,5
130,M3E2,0.07965009448052006,0.3689482470784641,128.66748476028442,0.09168968349695206,-0.05201468989253044,0.6944181323051453,2,5
131,TrueTreat,0.0,0.0,0.0,0.10418946185136765,0.014066706806582369,0.5340490239171135,2,5
132,DA,0.1538280569511639,0.16613756613756617,211.15159153938293,0.046347587886787604,-0.027402436960123244,0.17187587079490751,2,6
133,Dragonnet,0.1671268357683824,0.49252240312691137,127.88027334213257,0.012932183220982552,0.015384843572974205,0.1252439320087433,2,6
134,CEVAE,0.2078299822613383,0.49846719803801354,171.2523136138916,,-0.0006459355354309082,0.1331017017364502,2,6
135,HiCI,0.46615105670581514,0.5139896373056995,5.974097728729248,0.4691123962402344,-0.2601909637451172,-0.22522354125976562,2,6
136,M3E2,0.14501991446809037,0.2679611650485437,134.95284509658813,-0.019869009032845497,0.07992764562368393,0.2889086902141571,2,6
137,TrueTreat,0.0,0.0,0.0,0.10418946185136765,0.014066706806582369,0.5340490239171135,2,6
138,DA,0.16054674826830187,0.22310361923648986,214.58520436286926,0.022471820659636522,-0.031089096497424272,0.1792822236079457,2,7
139,Dragonnet,0.1543700034668731,0.48664699239186987,121.27254128456116,0.03048691898584366,-0.008893441408872604,0.16760170459747314,2,7
140,CEVAE,0.15373077629502677,0.49360793852131585,250.02412629127502,0.023426296189427376,0.017235582694411278,0.15678873658180237,2,7
141,HiCI,0.24793829323739067,0.4786885245901639,6.476060152053833,0.1475372314453125,-0.09943199157714844,-0.05291938781738281,2,7
142,M3E2,0.07713686652488384,0.2632612966601179,129.78090405464172,0.0801071748137474,-0.07406451553106308,0.41485193371772766,2,7
143,TrueTreat,0.0,0.0,0.0,0.10418946185136765,0.014066706806582369,0.5340490239171135,2,7
144,DA,0.14928896668712968,0.025367156208277702,212.46596503257751,-0.13318073703701627,-0.030691532905964127,0.03133022200079025,3,0
