,Method,MAE,F1_Test,Time(s),T0,T1,T2,T3,T4,seed_data,seed_models
60,DA,0.1805005776992424,0.05893657911595132,72.86231136322021,-0.10056883121815438,0.04471002948365476,-0.005997506087421861,0.050353298824007194,-0.08352490332979876,1,4
61,Dragonnet,0.17103757343934903,0.46347488429083866,216.9563388824463,-0.10220005363225937,0.07591674476861954,0.016399649903178215,0.058554843068122864,-0.06740328669548035,1,4
62,CEVAE,0.19174619165929088,0.4860842077510864,433.698689699173,-0.11242082715034485,0.0058934991247951984,-0.02081620693206787,0.030451687052845955,-0.08898168057203293,1,4
63,M3E2,0.20905689031565616,0.5536363636363636,179.2416341304779,-0.14559128880500793,-0.001544128404930234,-0.06230689212679863,-0.09907042235136032,-0.14770814776420593,1,4
64,TrueTreat,0.0,0.0,0.0,-0.4060863409158104,0.15293910341251885,0.13204293806586392,0.2682421555390426,-0.21635190733116963,1,4
65,DA,0.17751158266906059,0.06636885768985322,71.02597689628601,-0.10644655013477006,0.03978794113082083,-0.005279723312574048,0.044725712038861415,-0.10242405192722419,1,5
66,Dragonnet,0.18402722298847565,0.4616121414209533,218.39692378044128,-0.08402934670448303,0.022469453513622284,0.02627537027001381,0.037706539034843445,-0.08504562079906464,1,5
67,CEVAE,0.18836886610584386,0.483727146495814,419.1090347766876,-0.10213268548250198,0.008466571569442749,-0.003795415163040161,0.015401364304125309,-0.11161290854215622,1,5
68,M3E2,0.15163917548703082,0.556060606060606,183.2010486125946,-0.19593651592731476,0.06160347908735275,-0.026657601818442345,0.08644819259643555,-0.10013598203659058,1,5
69,TrueTreat,0.0,0.0,0.0,-0.4060863409158104,0.15293910341251885,0.13204293806586392,0.2682421555390426,-0.21635190733116963,1,5
70,DA,0.1717767647431488,0.16098378982671885,71.21670150756836,-0.13182450602735096,0.03720942141784187,0.03370093690819307,0.02934610226008277,-0.08469765493519288,1,6
71,Dragonnet,0.17136901207482497,0.47666234910894956,214.51004433631897,-0.1443939507007599,0.0006779253017157316,0.09008609503507614,0.0018300000810995698,-0.08182941377162933,1,6
72,CEVAE,0.18633847579108603,0.48287011897003607,422.05070972442627,-0.11848414689302444,0.0026915669441223145,0.01596483588218689,-0.006240367889404297,-0.11306988447904587,1,6
73,M3E2,0.15970941621558793,0.556060606060606,184.21149444580078,-0.3122204542160034,-0.0038417475298047066,-0.038080230355262756,-0.0990210771560669,-0.20583796501159668,1,6
74,TrueTreat,0.0,0.0,0.0,-0.4060863409158104,0.15293910341251885,0.13204293806586392,0.2682421555390426,-0.21635190733116963,1,6
75,DA,0.1716823350093549,0.046662346079066754,74.49367642402649,-0.10904464024229188,0.04345430154660071,0.01967076980468712,0.05823168712540533,-0.08684937149864588,1,7
76,Dragonnet,0.17476865432905087,0.46297513469411566,219.14964413642883,-0.10014236718416214,0.03887823969125748,0.013620087876915932,0.09360822290182114,-0.05557025596499443,1,7
77,CEVAE,0.17439094823769283,0.4799124125220758,350.35382747650146,-0.09690051525831223,0.0012864471646025777,0.006788061466068029,,-0.10488147288560867,1,7
78,M3E2,0.21263639430031236,0.5578787878787879,184.2480103969574,-0.15057089924812317,-0.054803118109703064,0.04801787808537483,-0.03219200298190117,-0.0008868175209499896,1,7
79,TrueTreat,0.0,0.0,0.0,-0.4060863409158104,0.15293910341251885,0.13204293806586392,0.2682421555390426,-0.21635190733116963,1,7
80,DA,0.21813553411899206,0.41117597998331945,75.05029892921448,0.01779248800401352,-0.0034711946209390883,0.1381353919689788,-0.12842552913041544,0.13917190589759745,2,0
81,Dragonnet,0.24204263837380552,0.4937704789718884,223.82210612297058,0.00305840908549726,-0.015459255315363407,0.13680963218212128,-0.0979032889008522,0.07820652425289154,2,0
82,CEVAE,0.13229658159865157,0.5085749633980879,334.2675540447235,0.05316615104675293,0.033690035343170166,,,0.12211579084396362,2,0
83,M3E2,0.1792688978493794,0.5951515151515151,175.3528242111206,-0.01492013968527317,-0.08329351991415024,0.23659369349479675,-0.22095926105976105,0.255048006772995,2,0
84,TrueTreat,0.0,0.0,0.0,0.10418946185136765,0.014066706806582369,0.5340490239171135,-0.41006770210124716,0.4483588962987158,2,0
85,DA,0.20323070731715323,0.4379059992357662,75.38918209075928,0.02433435285540973,-0.0017858905474957701,0.17201536869962208,-0.14095183117503565,0.15906259220668859,2,1
86,Dragonnet,0.22946100063925826,0.49145704169760274,229.9654495716095,0.02205720916390419,-0.03034837357699871,0.11978894472122192,-0.19137558341026306,0.060553424060344696,2,1
87,CEVAE,0.21622806377112225,0.5042355848806586,401.1429088115692,0.05389824137091637,0.017294108867645264,0.10248035937547684,-0.11792850494384766,0.14444506168365479,2,1
88,M3E2,0.15535405107146344,0.5751515151515152,178.42580485343933,0.020082799717783928,-0.04083415865898132,0.26444336771965027,-0.20027364790439606,0.28999587893486023,2,1
89,TrueTreat,0.0,0.0,0.0,0.10418946185136765,0.014066706806582369,0.5340490239171135,-0.41006770210124716,0.4483588962987158,2,1
90,DA,0.21223031352901617,0.45220729366602685,69.80782532691956,0.0352717239872169,0.04099467810283818,0.15519574299938255,-0.12840213029621053,0.1435718905368091,2,2
